store_name,store_company_by_GPT
HILLSTREET NEWS AND TOBACCO,HILLSTREET
JAMBOREE FOODS,JAMBOREE
SYCAMORE CONVENIENCE,SYCAMORE
DOUBLE D LIQUOR STORE,DOUBLE D
"CENTRAL CITY LIQUOR, INC.",CENTRAL CITY
KEOKUK SPIRITS,KEOKUK
SAC LIQUOR STORE,SAC
HAPPY'S WINE & SPIRITS WHOLESALE,HAPPY'S
RODGERS SPIRITS AND MORE,RODGERS
FORBES LIQUOR LOCKER / REMI,FORBES
ADVENTURELAND INN,ADVENTURELAND
INGERSOLL LIQUOR AND BEVERAGE,INGERSOLL
JOHN'S GROCERY,JOHN'S
WEST SIDE SPIRITS,WEST SIDE
RUBACK'S FOOD CENTER,RUBACK'S
BOTTLE BOUTIQUE,BOTTLE
REINHART FOODS,REINHART
"LIQUOR BARN, INC.",LIQUOR BARN
SID'S BEVERAGE SHOP,SID'S
"PRIVATE CELLAR, INC.",PRIVATE CELLAR
PRAIRIE MEADOWS,PRAIRIE MEADOWS
HY-VEE FOOD STORE #1 / AMES,HY-VEE
HY-VEE  #2 / AMES,HY-VEE
HY-VEE WINE AND SPIRITS / ANKENY,HY-VEE
HY-VEE WINE AND SPIRITS / BOONE,HY-VEE
HY-VEE #1044 / BURLINGTON,HY-VEE
HY-VEE FOOD STORE #1 / BURLINGTON,HY-VEE
HY-VEE FOOD STORE #1 / CEDAR RAPIDS,HY-VEE
HY-VEE / DRUGTOWN #1 / CEDAR RAPIDS,HY-VEE
HY-VEE WINE AND SPIRITS / IOWA CITY,HY-VEE
HY-VEE FOOD STORE #2 / IOWA CITY,HY-VEE
HY-VEE DRUGSTORE / MARION,HY-VEE
HY-VEE FOOD STORE #1 / MASON CITY,HY-VEE
HY-VEE FOOD STORE #1 / NEWTON,HY-VEE
HY-VEE WINE AND SPIRITS / RED OAK,HY-VEE
HY-VEE FOOD AND DRUG / GRAND / WDM,HY-VEE
HY-VEE WINE AND SPIRITS / SPIRIT LAKE,HY-VEE
HY-VEE FOOD STORE / CENTERVILLE,HY-VEE
HY-VEE FOOD STORE / DUBUQUE,HY-VEE
HY-VEE FOOD STORE #5 / DES MOINES,HY-VEE
HY-VEE FOOD STORE #3 / DES MOINES,HY-VEE
HY-VEE DRUGSTORE #4 / CEDAR RAPIDS,HY-VEE
HY-VEE FOOD STORE #2 / DES MOINES,HY-VEE
HY-VEE FOOD STORE #1 / WDM,HY-VEE
HY-VEE / PLEASANT HILL,HY-VEE
HY-VEE FOOD STORE #3 / WATERLOO,HY-VEE
HY-VEE FOOD STORE / IOWA FALLS,HY-VEE
HY-VEE FOOD STORE #1 / OTTUMWA,HY-VEE
HY-VEE FOOD STORE / MARSHALLTOWN,HY-VEE
HY-VEE DRUGSTORE / IOWA CITY,HY-VEE
HY-VEE FOOD STORE / ALTOONA,HY-VEE
HY-VEE FOOD STORE / INDIANOLA,HY-VEE
HY-VEE FOOD STORE / OSCEOLA,HY-VEE
HY-VEE FOOD STORE / CHARITON,HY-VEE
HY-VEE FOOD STORE #3 / CEDAR RAPIDS,HY-VEE
HY-VEE FOOD STORE / CRESTON,HY-VEE
HY-VEE FOOD STORE / DAVENPORT,HY-VEE
HY-VEE FOOD STORE / KEOKUK,HY-VEE
HY-VEE WINE AND SPIRITS / ESTHERVILLE,HY-VEE
HY-VEE FOOD STORE / MOUNT PLEASANT,HY-VEE
HY-VEE FOOD STORE / ALBIA,HY-VEE
HY-VEE FOOD STORE / MARION,HY-VEE
HY-VEE FOOD STORE / FLEUR / DSM,HY-VEE
HY-VEE FOOD STORE / FORT DODGE,HY-VEE
HY-VEE FOOD STORE #4 / WATERLOO,HY-VEE
HY-VEE FOOD STORE #1636 / SPENCER,HY-VEE
HY-VEE FOOD STORE / KNOXVILLE,HY-VEE
HY-VEE DRUGSTORE / DAVENPORT,HY-VEE
HY-VEE FOOD STORE #4 / CEDAR RAPIDS,HY-VEE
HY-VEE FOOD STORE #2 / CEDAR RAPIDS,HY-VEE
HY-VEE FOOD STORE #2 / WATERLOO,HY-VEE
HY-VEE FOOD STORE / CEDAR FALLS,HY-VEE
HY-VEE FOOD STORE / MUSCATINE,HY-VEE
HY-VEE FOOD STORE #1 / WATERLOO,HY-VEE
HY-VEE WINE AND SPIRITS / STORM LAKE,HY-VEE
HY-VEE / CHARLES CITY,HY-VEE
HY-VEE FOOD STORE / GRINNELL,HY-VEE
HY-VEE #2 FOOD STORE / MASON CITY,HY-VEE
HY-VEE FOOD STORE / FORT MADISON,HY-VEE
HY-VEE WINE AND SPIRITS / ALGONA,HY-VEE
HY-VEE FOOD STORE / JOHNSTON,HY-VEE
HY-VEE FOOD AND DRUG #6 / CEDAR RAPIDS,HY-VEE
HY-VEE FOOD STORE #5 / CEDAR RAPIDS,HY-VEE
HY-VEE WINE AND SPIRITS / ATLANTIC,HY-VEE
HY-VEE DRUGSTORE / MARSHALLTOWN,HY-VEE
HY-VEE FOOD STORE / CARROLL,HY-VEE
HY-VEE FOOD STORE / SIOUX CITY,HY-VEE
HY-VEE WINE AND SPIRITS / DENISON,HY-VEE
HY-VEE OTTUMWA#2,HY-VEE
HY-VEE FOOD STORE / CHEROKEE,HY-VEE
HY-VEE FOOD STORE / OSKALOOSA,HY-VEE
HY-VEE FOOD STORE / FAIRFIELD,HY-VEE
HY-VEE FOOD STORE / WEBSTER CITY,HY-VEE
HY-VEE WINE AND SPIRITS / BETTENDORF,HY-VEE
HY-VEE WINE AND SPIRITS / LE MARS,HY-VEE
HY-VEE DRUGSTORE #5 / CEDAR RAPIDS,HY-VEE
HY-VEE WINE AND SPIRITS / HUMBOLDT,HY-VEE
HY-VEE WINE AND SPIRITS / SHENANDOAH,HY-VEE
HY-VEE DRUGSTORE #2 / AMES,HY-VEE
HY-VEE DRUGSTORE / OTTUMWA,HY-VEE
HY-VEE STORE / PERRY,HY-VEE
HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,HY-VEE
HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,HY-VEE
HY-VEE FOOD AND DRUG / CLINTON,HY-VEE
HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,HY-VEE
HY-VEE WINE AND SPIRITS / WDM,HY-VEE
HY-VEE / WINDSOR HEIGHTS,HY-VEE
HY-VEE FOOD STORE #3 / SIOUX CITY,HY-VEE
HY-VEE FOOD STORE / IOWA CITY,HY-VEE
HY-VEE FOOD STORE #4 / SIOUX CITY,HY-VEE
HY-VEE #2 / DUBUQUE,HY-VEE
HY-VEE WINE & SPIRITS #2 / DAVENPORT,HY-VEE
HY-VEE DRUGSTORE / UNIVERSITY / DSM,HY-VEE
HY-VEE WINE & SPIRITS #1 / MLK,HY-VEE
HY-VEE FOOD STORE / ELDORA,HY-VEE
HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,HY-VEE
HY-VEE DRUGSTORE #2 / WDM,HY-VEE
HY-VEE #3 / BDI / DES MOINES,HY-VEE
HY-VEE #4 / DAVENPORT,HY-VEE
HY-VEE WINE AND SPIRITS / HUBBELL,HY-VEE
HY-VEE #5 / DAVENPORT,HY-VEE
HY-VEE DRUGSTORE / COUNCIL BLUFFS,HY-VEE
HY-VEE WINE AND SPIRITS / PELLA,HY-VEE
HY-VEE WINE AND SPIRITS / WATERLOO,HY-VEE
HY-VEE FORT DODGE WINE AND SPIRITS,HY-VEE
HY-VEE #7 / CEDAR RAPIDS,HY-VEE
HY-VEE #4 / WDM,HY-VEE
HY-VEE #3 / DUBUQUE,HY-VEE
HY-VEE WINE AND SPIRITS / HARLAN,HY-VEE
HY-VEE / WAVERLY,HY-VEE
HY-VEE DRUGSTORE / MASON CITY,HY-VEE
HY-VEE WINE AND SPIRITS / WASHINGTON,HY-VEE
HY-VEE FOOD STORE / CLARINDA,HY-VEE
HY-VEE FOOD STORE / CORNING,HY-VEE
HY-VEE FOOD STORE / BEDFORD,HY-VEE
HY-VEE FOOD STORE / MOUNT AYR,HY-VEE
HY-VEE FOOD STORE / SIOUX CENTER,HY-VEE
HY-VEE FOOD STORE / SHELDON,HY-VEE
HY-VEE WINE & SPIRITS / MUSCATINE,HY-VEE
HY-VEE FOOD STORE / URBANDALE,HY-VEE
HY-VEE / WAUKEE,HY-VEE
HY-VEE FOOD STORE #2 / STATE ANKENY,HY-VEE
HY-VEE MAINSTREET / SIOUX CITY,HY-VEE
HY-VEE FOOD STORE / LEON,HY-VEE
HY-VEE / CORYDON,HY-VEE
HY-VEE FOOD STORE / CORALVILLE,HY-VEE
HY-VEE  /  JEFFERSON,HY-VEE
HY-VEE / WINTERSET,HY-VEE
HY-VEE # 6/ DES MOINES,HY-VEE
HY-VEE FOOD STORE / LAMONI,HY-VEE
HY-VEE #2 / CORALVILLE,HY-VEE
HY-VEE GAS / INDIANOLA,HY-VEE
HY-VEE FAST & FRESH EXPRESS / CENTERVILLE,HY-VEE
HY-VEE FAST & FRESH / DAVENPORT,HY-VEE
HY-VEE FAST & FRESH/ALTOONA,HY-VEE
HY-VEE FULFILLMENT CENTER,HY-VEE
HY-VEE C-STORE / FAIRFEILD,HY-VEE
HY-VEE WDM HEALTH MARKET,HY-VEE
HY-VEE FAST & FRESH / WDM,HY-VEE
HY-VEE - FOREST CITY,HY-VEE
HY-VEE -GARNER,HY-VEE
HY-VEE GAS - PLEASANT HILL,HY-VEE
HY-VEE FAST & FRESH EXPRESS- BETTENDORF,HY-VEE
HY-VEE C-STORE - EAST HICKMAN,HY-VEE
HY-VEE C-STORE - DOUGLAS,HY-VEE
HY-VEE FAST & FRESH - KNOXVILLE,HY-VEE
HY-VEE FAST & FRESH - DES MOINES,HY-VEE
HY-VEE FAST & FRESH EXPRESS -OSCELOA,HY-VEE
HY-VEE FAST & FRESH EXPRESS / CRESTON,HY-VEE
HY-VEE GAS #4 / DES MOINES,HY-VEE
HY-VEE C-STORE / SE ARMY POST,HY-VEE
HY-VEE DOLLAR FRESH - TOLEDO,HY-VEE
HY-VEE GAS #4 - WDM,HY-VEE
HY-VEE C-STORE #2 - ANKENY,HY-VEE
HY-VEE DOLLAR FRESH - EMMETSBURG,HY-VEE
HY-VEE FAST AND FRESH / STORM LAKE,HY-VEE
HY-VEE GAS #1 / ANKENY,HY-VEE
HY-VEE FAST AND FRESH / CLIVE,HY-VEE
HY-VEE OELWEIN DOLLAR FRESH,HY-VEE
HY-VEE CRESCO DOLLAR FRESH,HY-VEE
HY-VEE FAST AND FRESH / JOHNSTON,HY-VEE
HY-VEE FAST AND FRESH - URBANDALE,HY-VEE
HY-VEE FAST AND FRESH - WINDSOR HEIGHTS,HY-VEE
HY-VEE FAST AND FRESH - DUBUQUE,HY-VEE
HY-VEE GAS #1 / OTTUMWA,HY-VEE
HY-VEE GAS #2 / OTTUMWA,HY-VEE
HY-VEE / DECORAH,HY-VEE
HY-VEE DYERSVILLE DOLLAR FRESH,HY-VEE
HY-VEE / VINTON,HY-VEE
HY-VEE FOOD STORE / DENISON,HY-VEE
HY-VEE HAMPTON DOLLAR FRESH,HY-VEE
HY-VEE GAS #5018 / AMES,HY-VEE
HY-VEE WAUKON DOLLAR FRESH,HY-VEE
HY-VEE FAST AND FRESH / WAUKEE,HY-VEE
HY-VEE GAS #3 / WDM,HY-VEE
HY-VEE C-STORE #3 / DUBUQUE,HY-VEE
HY-VEE GAS / JOHNSTON,HY-VEE
OSCO #1118 / CLINTON,OSCO
CVS PHARMACY #8538 / CEDAR FALLS,CVS
CVS PHARMACY #8546 / WATERLOO,CVS
CVS PHARMACY #8544 / WATERLOO,CVS PHARMACY
CVS PHARMACY #8658 / DAVENPORT,CVS PHARMACY
CVS PHARMACY #8659 / DAVENPORT,CVS PHARMACY
CVS PHARMACY #8633 / BETTENDORF,CVS PHARMACY
CVS PHARMACY #8532 / CEDAR RAPIDS,CVS PHARMACY
CVS PHARMACY #8526 / CEDAR RAPIDS,CVS PHARMACY
CVS PHARMACY #8547 / IOWA CITY,CVS PHARMACY
CVS PHARMACY #4816 / COUNCIL BLUFFS,CVS PHARMACY
CVS PHARMACY #8443 / CEDAR RAPIDS,CVS PHARMACY
CVS PHARMACY #10032 / MARION,CVS PHARMACY
CVS PHARMACY #10114 / ANKENY,CVS PHARMACY
CVS PHARMACY #10162 / DES MOINES,CVS PHARMACY
CVS / PHARMACY #10161 / DES MOINES,CVS
CVS / PHARMACY #10282 / FORT DODGE,CVS
CVS PHARMACY #10329 / MERLE HAY,CVS PHARMACY
CVS PHARMACY #10452  /  AMES,CVS PHARMACY
CVS / PHARMACY #10480 / URBANDALE,CVS
KEITH'S FOODS,KEITH'S FOODS
SHUGAR'S SUPER VALU / COLFAX,SHUGAR'S SUPER VALU
BRITT FOOD CENTER,BRITT FOOD CENTER
MCNALLY'S SUPER VALU,MCNALLY'S SUPER VALU
CLARION SUPER VALU II,CLARION SUPER VALU
MONTEZUMA SUPER VALU,MONTEZUMA SUPER VALU
SAM'S CLUB 8238 / DAVENPORT,SAM'S CLUB
SAM'S CLUB 8162 / CEDAR RAPIDS,SAM'S CLUB
OKOBOJI AVENUE LIQUOR,OKOBOJI AVENUE LIQUOR
THE HANGOUT LIQUORS,THE HANGOUT LIQUORS
ECON-O-MART / COLUMBUS JUNCTION,ECON-O-MART
BIG G FOOD STORE,BIG G FOOD STORE
SAM'S CLUB 6344 / WINDSOR HEIGHTS,SAM'S CLUB
SUPER SAVER IV,SUPER SAVER
SAM'S CLUB 6432 / SIOUX CITY,SAM'S CLUB
QUICK SHOP / CLEAR LAKE,QUICK SHOP
HOMETOWN FOODS / STUART,HOMETOWN FOODS
HOMETOWN FOODS / PANORA,HOMETOWN FOODS
SAM'S CLUB 6472 / COUNCIL BLUFFS,SAM'S CLUB
JEFF'S FOODS,JEFF'S FOODS
BENDER'S FOODS,BENDER'S FOODS
SAM'S CLUB 6514 / WATERLOO,SAM'S CLUB
KAREN'S SPIRITS AND WINE,KAREN'S
AMERISTAR CASINO / COUNCIL BLUFFS,AMERISTAR CASINO
SAM'S CLUB 6568 / AMES,SAM'S CLUB
WINES AND SPIRITS,WINES AND SPIRITS
SUPER TARGET T-0804 MASON CITY,SUPER TARGET
SUPER TARGET T-0533 / DAVENPORT,SUPER TARGET
CHUCK'S SPORTSMANS BEVERAGE,CHUCK'S SPORTSMANS BEVERAGE
QUICKER LIQUOR STORE,QUICKER LIQUOR
WAL-MART 0797 / W BURLINGTON,WAL-MART
WAL-MART 0559 / MUSCATINE,WAL-MART
HARTIG DRUG STORE #10 / IOWA CITY,HARTIG DRUG STORE
KORTHOUSE LIQUOR,KORTHOUSE LIQUOR
PIRILLO BEVERAGE,PIRILLO BEVERAGE
WAL-MART 0886 / FORT DODGE,WAL-MART
SCOTTY'S LIQUOR STORE,SCOTTY'S LIQUOR STORE
LOGAN SUPER FOODS,LOGAN SUPER FOODS
B AND C LIQUOR / MAQUOKETA,B AND C LIQUOR
WAL-MART 2716 / CEDAR RAPIDS,WAL-MART
WAL-MART 1415 / SPIRIT LAKE,WAL-MART
WAL-MART 0748 / NEWTON,WAL-MART
WAL-MART 0892 / ANKENY,WAL-MART
WAL-MART 2714 / SPENCER,WAL-MART
WAL-MART 1528 / CEDAR RAPIDS,WAL-MART
WAL-MART 1965 / COUNCIL BLUFFS,WAL-MART
WAL-MART 2004 / DUBUQUE,WAL-MART
CLARK'S FOOD MART / OGDEN,CLARK'S FOOD MART
WAL-MART 2764 / ALTOONA,WAL-MART
WAL-MART 1764 / WINDSOR HEIGHTS,WAL-MART
WAL-MART 2889 / CLINTON,WAL-MART
FAIRBANK FOOD CENTER,FAIRBANK FOOD CENTER
"SPIRITS, STOGIES AND STUFF","SPIRITS, STOGIES AND STUFF"
WAL-MART 1491 / INDIANOLA,WAL-MART
DISCOUNT LIQUORS OF IDA GROVE,DISCOUNT LIQUORS
THE BEVERAGE SHOP / BELMOND,THE BEVERAGE SHOP
TARGET STORE T-1767 / ANKENY,TARGET
WAL-MART 2935 / KNOXVILLE,WAL-MART
WAL-MART 1496 / WATERLOO,WAL-MART
SHADE TREE LIQUORS,SHADE TREE LIQUORS
TARGET STORE T-1771 / CEDAR RAPIDS,TARGET
WAL-MART 2827 / CORALVILLE,WAL-MART
T AND M FOODS,T AND M FOODS
BARB'S SERVICE,BARB'S SERVICE
"SMOKE SHOP, THE",SMOKE SHOP
FRANKLIN STREET FLORAL & GIFT,FRANKLIN STREET FLORAL & GIFT
JUMBO'S,JUMBO'S
FREDERICKSBURG FOOD CENTER,FREDERICKSBURG FOOD CENTER
TARGET STORE T-1792 / WATERLOO,TARGET
TARGET STORE T-1791 / URBANDALE,TARGET
MRS. B'S LIQUOR,MRS. B'S LIQUOR
WAL-MART 1723 / DES MOINES,WAL-MART
INGERSOLL WINE MERCHANTS,INGERSOLL WINE MERCHANTS
CELTICS BEVERAGE COMPANY,CELTICS BEVERAGE COMPANY
LIQUOR LOCKER,LIQUOR LOCKER
TARGET STORE T-1768 / CEDAR RAPIDS,TARGET
NEW YORK DOLLAR STORE,NEW YORK DOLLAR STORE
MONTE SPIRITS,MONTE SPIRITS
WAL-MART 0810 / MASON CITY,WAL-MART
KIMBERLY MART / DAVENPORT,KIMBERLY MART
THE LIQUOR STOP / SUMNER,THE LIQUOR STOP
WAL-MART 0581 / MARSHALLTOWN,WAL-MART
WAL-MART 0913 / DECORAH,WAL-MART
WAL-MART 1361 / SIOUX CITY,WAL-MART
J D SPIRITS LIQUOR,J D SPIRITS
WAL-MART 1285 / OTTUMWA,WAL-MART
BREWSKI'S BEVERAGE,BREWSKI'S
WAL-MART 1241 / DAVENPORT,WAL-MART
NORTH SCOTT FOODS,NORTH SCOTT
C B LIQUOR,C B
HARTIG DRUG COMPANY #4 / DUBUQUE,HARTIG
HOMETOWN FOODS / WATERLOO,HOMETOWN FOODS
WAL-MART 1625 / LEMARS,WAL-MART
RANDY'S NEIGHBORHOOD MARKET / DYERSVILLE,RANDY'S
WAL-MART 1526 / STORM LAKE,WAL-MART
MAIN STREET LIQUORS / MANNING,MAIN STREET
WAL-MART 3590 / SIOUX CITY,WAL-MART
WINE AND SPIRITS GALLERY,WINE AND SPIRITS
MAIN STREET LIQUORS / HAWARDEN,MAIN STREET
WAL-MART 0753 / CEDAR FALL,WAL-MART
SHOP N SAVE #1 / MLK PKWY,SHOP N SAVE
BENZ DISTRIBUTING,BENZ
EAGLE COUNTRY MARKET / DUBUQUE,EAGLE COUNTRY
WAL-MART 5115 / DAVENPORT,WAL-MART
FAMILY PANTRY,FAMILY PANTRY
BENDER FOODS / GUTTENBERG,BENDER FOODS
DYNO'S WINE AND SPIRITS / POCAHONTAS,DYNO'S
HARTIG DRUG #14 / INDEPENDENCE,HARTIG
WAL-MART 1393 / OSKALOOSA,WAL-MART
WAL-MART 0784 / MT PLEASAN,WAL-MART
STRAWBERRY FOODS AND DELI,STRAWBERRY FOODS
WASHINGTON STREET MINI MART,WASHINGTON STREET
TARGET STORE T-1901 / WDM,TARGET
THRIFTWAY,THRIFTWAY
WAL-MART 1431 / KEOKUK,WAL-MART
CGI FOODS,CGI
COSTCO WHOLESALE #788 / WDM,COSTCO
ROUND WINDOW LIQUOR,ROUND WINDOW
QUILLINS DECORAH,QUILLINS
"CHARLIE'S WINE AND SPIRITS,",CHARLIE'S
THE SECRET CELLAR,THE SECRET CELLAR
SHOP N SAVE #2 / E 14TH,SHOP N SAVE
LAKESIDE HOTEL & CASINO,LAKESIDE
GARY'S FOODS / MT VERNON,GARY'S
WAL-MART 1435 / CRESTON,WAL-MART
THE MARKET OF MADRID,THE MARKET
WAL-MART 3394 / ATLANTIC,WAL-MART
SCHNUCKS / BETTENDORF,SCHNUCKS
HARTIG DRUG COMPANY #2 / LOCUST,HARTIG
BANCROFT LIQUOR STORE,BANCROFT
OTHO CONVENIENCE AND FOOD,OTHO
HARTIG DRUG CO #6 / DYERSVILLE,HARTIG
DYNO'S WINE AND SPIRITS / STORM LAKE,DYNO'S
QUILLINS FOOD RANCH / WAUKON,QUILLINS
HAROLDS JACK N JILL / DAVENPORT,HAROLDS
WAL-MART 0750 / INDEPENDENCE,WAL-MART
TARGET STORE T-1170 / AMES,TARGET
WAL-MART 3630 / MARION,WAL-MART
BOOTLEGGIN' BARZINI'S FIN,BOOTLEGGIN' BARZINI'S
TARGET STORE T-1939 / ALTOONA,TARGET
TARGET STORE T-0069 / WDM,TARGET
TARGET STORE T-0086 / DUBUQUE,TARGET
TARGET STORE T-1113 / CORALVILLE,TARGET
TARGET STORE T-2041 / DES MOINES,TARGET
TARGET STORE T-1800 / SIOUX CITY,TARGET
TARGET STORE T-2454 / COUNCIL BLUFFS,TARGET
7 RAYOS LIQUOR STORE,7 RAYOS
KWIK SHOP #579 / DAVENPORT,KWIK SHOP
WAL-MART 0646 / ANAMOSA,WAL-MART
WAL-MART 0647 / GRINNELL,WAL-MART
WAL-MART 1005 / WAVERLY,WAL-MART
SMOKIN' JOE'S #7 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
"WILD ROSE EMMETSBURG, LLC",WILD ROSE
SMOKIN' JOE'S #18 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
WAL-MART 3762 / WDM,WAL-MART
TARGET STORE T-0878 / FORT DODGE,TARGET
SMOKIN' JOE'S #16 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
D AND S GROCERY,D AND S
RIVERSIDE CASINO AND RESORT,RIVERSIDE
SMOKIN' JOE'S #14 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
SMOKIN' JOE'S #5 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
SMOKIN' JOE'S #2 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
SMOKIN' JOE'S #1 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
SMOKIN' JOE'S #11 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
SMOKIN' JOE'S #12 TOBACCO AND LIQUOR OUTLET,SMOKIN' JOE'S
KUENNEN'S LIQUOR STORE,KUENNEN'S
MAIN STREET SPIRITS / MAPLETON,MAIN STREET
WAL-MART 1509 / MAQUOKETA,WAL-MART
TWIN TOWN LIQUOR,TWIN TOWN
GOOD AND QUICK CO,GOOD AND QUICK
SAM'S CLUB 4973 / DUBUQUE,SAM'S CLUB
WAL-MART 0751 / PELLA,WAL-MART
LOT-A-SPIRITS,LOT-A
KARL'S GROCERY STORE,KARL'S
HARTIG DRUG COMPANY #8/UNIVERSITY,HARTIG
TOBACCO HUT #14 / COUNCIL BLUFFS,TOBACCO HUT
SIOUX FOOD CENTER OF SIOUX RAPIDS,SIOUX FOOD CENTER
MMDG SPIRITS / AMES,MMDG
WAL-MART 1721 / IOWA CITY,WAL-MART
WAL-MART 1152 / SIOUX CENTER,WAL-MART
WINE AND SPIRITS SHOPPE OF,WINE AND SPIRITS
CORK AND BOTTLE / OSKALOOSA,CORK AND BOTTLE
NEW STAR LIQUOR / W 4TH S / WATERLOO,NEW STAR LIQUOR
BARMUDA DISTRIBUTION,BARMUDA
WAL-MART 4606 / OSCEOLA,WAL-MART
FOODLAND SUPER MARKETS / WOODBINE,FOODLAND
WAL-MART 1787 / CARROLL,WAL-MART
WAL-MART 4256 / AMES,WAL-MART
LARCHWOOD OFFSALE,LARCHWOOD
NEWMAN'S THRIFTWAY,NEWMAN'S
JIM AND CHARLIES AFFILIATED,JIM AND CHARLIES
WAL-MART 0841 / TIPTON,WAL-MART
WAL-MART 1732 / DENISON,WAL-MART
WAL-MART 0749 / AMES,WAL-MART
WAL-MART 1506 / MANCHESTER,WAL-MART
